15262524656,Nicolas Reis,2023
Salario,9500
INSS,66
Dependente,379.18
Base,9054.82
Aliquota,2490.08
Imposto de Renda,1605.12
12345678009,Julio,2024
Salario,50000
INSS,6.95282e-310
Dependente,379.18
Base,49620.8
Aliquota,13645.7
Imposto de Renda,12760.8
15262524656,Nicolas Reis,2010
Salario,2000
INSS,nan
Dependente,379.18
Base,-nan
Aliquota,-nan
Imposto de Renda,0
12345678009,Julio,2010
Salario,50000
INSS,0
Dependente,379.18
Base,49620.8
Aliquota,13645.7
Imposto de Renda,12760.8
12345678009,Julio,2017
Salario,2000
INSS,0
Dependente,379.18
Base,1620.82
Aliquota,0
Imposto de Renda,0
